"region_bld","fuel_heat_f","value","scaling_factor"
"C-EEU-BGR","coal",-2.84550113908962,0.471976864668758
"C-EEU-BGR","district_heat",-1.88307601725374,0.471976864668758
"C-EEU-BGR","electricity",-0.877158843677484,0.471976864668758
"C-EEU-BGR","heat_pump",-2.56986931861306,0.471976864668758
"C-EEU-BGR","biomass_solid",0,0.471976864668758
"C-EEU-CZE","coal",-2.55565607628188,0.315118467304774
"C-EEU-CZE","district_heat",-0.103062967147221,0.315118467304774
"C-EEU-CZE","gas",0.118894943738352,0.315118467304774
"C-EEU-CZE","heat_pump",-2.2240416245534,0.315118467304774
"C-EEU-CZE","biomass_solid",0,0.315118467304774
"C-EEU-EST","district_heat",-0.465982569782118,0.319656649362789
"C-EEU-EST","gas",-1.75846618915463,0.319656649362789
"C-EEU-EST","heat_pump",-1.26936064574239,0.319656649362789
"C-EEU-EST","biomass_solid",0,0.319656649362789
"C-EEU-HUN","biomass_solid",0.425471695170284,0.323649373082773
"C-EEU-HUN","district_heat",-1.38278484763233,0.323649373082773
"C-EEU-HUN","heat_pump",-4.22821060251481,0.323649373082773
"C-EEU-HUN","gas",0,0.323649373082773
"C-EEU-LTU","district_heat",-0.276492868645471,0.270624215472699
"C-EEU-LTU","gas",-1.49263965043531,0.270624215472699
"C-EEU-LTU","heat_pump",-5.62495867150456,0.270624215472699
"C-EEU-LTU","biomass_solid",0,0.270624215472699
"C-EEU-LVA","district_heat",-1.11985641038601,0.244948751205451
"C-EEU-LVA","gas",-1.32849576796953,0.244948751205451
"C-EEU-LVA","heat_pump",-2.90205275981749,0.244948751205451
"C-EEU-LVA","biomass_solid",0,0.244948751205451
"C-EEU-POL","biomass_solid",0.553871845433013,0.282961167146256
"C-EEU-POL","district_heat",0.422822924676444,0.282961167146256
"C-EEU-POL","gas",0.681399229484507,0.282961167146256
"C-EEU-POL","heat_pump",-2.95756315234495,0.282961167146256
"C-EEU-POL","coal",0,0.282961167146256
"C-EEU-ROU","district_heat",-0.969679095488617,0.437307026949513
"C-EEU-ROU","gas",-1.34205513973715,0.437307026949513
"C-EEU-ROU","heat_pump",-4.29653698402976,0.437307026949513
"C-EEU-ROU","biomass_solid",0,0.437307026949513
"C-EEU-SVK","district_heat",2.0639306281769,0.799206062356997
"C-EEU-SVK","heat_pump",-1.90007963754292,0.799206062356997
"C-EEU-SVK","gas",0,0.799206062356997
"C-EEU-SVN","district_heat",-0.932949120800016,0.276044235229199
"C-EEU-SVN","electricity",-0.308857740980574,0.276044235229199
"C-EEU-SVN","gas",-0.89719916785098,0.276044235229199
"C-EEU-SVN","heat_pump",-1.94389576220594,0.276044235229199
"C-EEU-SVN","oil",0.413961186034573,0.276044235229199
"C-EEU-SVN","biomass_solid",0,0.276044235229199
"C-WEU-AUT","district_heat",0.0343048771123094,0.183172475290985
"C-WEU-AUT","electricity",1.14659002616218,0.183172475290985
"C-WEU-AUT","gas",0.590086976336044,0.183172475290985
"C-WEU-AUT","heat_pump",-0.460021556022665,0.183172475290985
"C-WEU-AUT","oil",1.38367329443324,0.183172475290985
"C-WEU-AUT","biomass_solid",0,0.183172475290985
"C-WEU-BEL","biomass_solid",-2.03858307561015,0.385699469698308
"C-WEU-BEL","heat_pump",-0.782472429268227,0.385699469698308
"C-WEU-BEL","oil",1.4011341748058,0.385699469698308
"C-WEU-BEL","gas",0,0.385699469698308
"C-WEU-CYP","electricity",167.926193785748,100.061529751039
"C-WEU-CYP","heat_pump",-85.2947130083435,100.061529751039
"C-WEU-CYP","oil",0,100.061529751039
"C-WEU-DEU","biomass_solid",-1.7148999135653,0.177948959032929
"C-WEU-DEU","district_heat",-1.37241295266869,0.177948959032929
"C-WEU-DEU","heat_pump",-1.54061163489121,0.177948959032929
"C-WEU-DEU","oil",0.173060781627444,0.177948959032929
"C-WEU-DEU","gas",0,0.177948959032929
"C-WEU-DNK","biomass_solid",-1.58067451367164,0.142641779136353
"C-WEU-DNK","gas",-0.885491198981045,0.142641779136353
"C-WEU-DNK","heat_pump",-1.52849700909606,0.142641779136353
"C-WEU-DNK","oil",0.0666997436364884,0.142641779136353
"C-WEU-DNK","district_heat",0,0.142641779136353
"C-WEU-ESP","biomass_solid",-1.69903335185326,0.297431763090725
"C-WEU-ESP","electricity",1.33319622918237,0.297431763090725
"C-WEU-ESP","gas",-0.609773148393068,0.297431763090725
"C-WEU-ESP","heat_pump",-1.18231108800187,0.297431763090725
"C-WEU-ESP","oil",0,0.297431763090725
"C-WEU-FIN","biomass_solid",-0.0927839199952235,0.329782712645056
"C-WEU-FIN","electricity",2.03654885855454,0.329782712645056
"C-WEU-FIN","heat_pump",0.704893818287016,0.329782712645056
"C-WEU-FIN","oil",2.6184687305627,0.329782712645056
"C-WEU-FIN","district_heat",0,0.329782712645056
"C-WEU-FRA","biomass_solid",-0.746433203115499,0.191628908855402
"C-WEU-FRA","district_heat",-2.17195217855248,0.191628908855402
"C-WEU-FRA","electricity",-0.11540630448432,0.191628908855402
"C-WEU-FRA","heat_pump",-1.3840762637987,0.191628908855402
"C-WEU-FRA","oil",0.341494440268889,0.191628908855402
"C-WEU-FRA","gas",0,0.191628908855402
"C-WEU-GBR","biomass_solid",-2.68269559546057,0.195046805426253
"C-WEU-GBR","electricity",0.801680198654463,0.195046805426253
"C-WEU-GBR","heat_pump",-2.31020011260297,0.195046805426253
"C-WEU-GBR","oil",-1.16305097846263,0.195046805426253
"C-WEU-GBR","gas",0,0.195046805426253
"C-WEU-GRC","biomass_solid",-4.07078582347004,0.323930425101877
