year,region_bld,value
2050,C-WEU-DEU,821235.58
2050,C-WEU-GRC,114492.0334
2050,C-EEU-HUN,85674.6884
2050,C-WEU-IRL,24720.2086
2050,C-WEU-ITA,922207.33
2050,C-EEU-LVA,16380.59934
2050,C-EEU-LTU,25473.243
2050,C-WEU-LUX,2304.3669
2050,C-WEU-MLT,2288.76608
2050,C-WEU-NLD,138576.5696
2050,C-EEU-POL,411372.872
2050,C-WEU-PRT,121015.9682
2050,C-EEU-ROU,219200.562
2050,C-EEU-SVK,43517.5226
2050,C-EEU-SVN,23132.756
2050,C-WEU-ESP,764984.382
2050,C-WEU-SWE,78204.2758
2050,C-WEU-GBR,669682.208
