"scenario_id","scenario_name","Var1"
1,"S1",""
2,"S2","EUETSII"
3,"S3","EUETS"
4,"S4","social"
5,"S5",""
6,"S6","renovation_endogenous"
7,"S7","deep_renovation_endogenous"
8,"S8",""
9,"S9","carbon"
10,"S10","constant"
11,"S11",""
12,"S12","0.5"
13,"S13","1"
14,"S14","FALSE"
15,"S15","TRUE"
16,"S16","FALSE"
17,"S17","TRUE"
